harvest_year,S1 Sell at harvest (Dec),S2 Hold to June,S3 Quarterly tranches,S4 Hold to September,S5 Two-batch (Dec+Jun),winner
2010,39600.0,41337.86889857692,41286.08621726815,39287.0616704957,40468.934449288456,S2 Hold to June
2011,40600.0,35515.633842439325,38490.72526759967,37853.22730295936,38057.816921219666,S1 Sell at harvest (Dec)
2012,38600.0,35030.44758776119,36906.242801411965,34985.558567886685,36815.22379388059,S1 Sell at harvest (Dec)
2013,35600.0,36486.006351795586,37363.832197644035,37375.28251378058,36043.00317589779,S4 Hold to September
2014,37600.0,35515.633842439325,36545.86329465272,33073.77941117156,36557.816921219666,S1 Sell at harvest (Dec)
2015,35600.0,35515.633842439325,34307.3896150815,34985.558567886685,35557.816921219666,S1 Sell at harvest (Dec)
2016,40100.0,41337.86889857692,41773.192971232544,40242.95124885326,40718.934449288456,S3 Quarterly tranches
2017,45100.0,35515.633842439325,39510.8317186262,35463.50335706546,40307.816921219666,S1 Sell at harvest (Dec)
2018,35100.0,29208.212531623594,32518.88154880562,30206.110676098884,32154.106265811795,S1 Sell at harvest (Dec)
2019,33600.0,30663.771295657993,31761.668759403612,31162.000254456445,32131.885647828996,S1 Sell at harvest (Dec)
2020,35100.0,35515.633842439325,36739.02586531406,38809.11688131692,35307.816921219666,S4 Hold to September
2021,41100.0,40367.49638922065,41049.09001180409,39287.0616704957,40733.74819461032,S1 Sell at harvest (Dec)
2022,43600.0,60745.31908570223,56374.86757654404,71309.36254547395,52172.659542851114,S4 Hold to September
2023,87600.0,106352.8270254467,101785.56766221783,121971.5101984246,96976.41351272335,S4 Hold to September
2024,124600.0,116056.55211900937,119720.36544260703,108589.05610141877,120328.27605950469,S1 Sell at harvest (Dec)
