date,year,month,arabica_usd_kg,robusta_usd_kg
1960-01-01,1960,1,0.9409,0.6969
1960-02-01,1960,2,0.9469,0.6887
1960-03-01,1960,3,0.9281,0.6887
1960-04-01,1960,4,0.9303,0.6845
1960-05-01,1960,5,0.92,0.6907
1960-06-01,1960,6,0.9123,0.6969
1960-07-01,1960,7,0.916,0.6907
1960-08-01,1960,8,0.9292,0.6988
1960-09-01,1960,9,0.9226,0.7028
1960-10-01,1960,10,0.9237,0.7068
1960-11-01,1960,11,0.9116,0.709
1960-12-01,1960,12,0.9006,0.6969
1961-01-01,1961,1,0.9145,0.6766
1961-02-01,1961,2,0.9167,0.6766
1961-03-01,1961,3,0.9105,0.6684
1961-04-01,1961,4,0.9017,0.6645
1961-05-01,1961,5,0.8929,0.6623
1961-06-01,1961,6,0.8891,0.6664
1961-07-01,1961,7,0.8929,0.6684
1961-08-01,1961,8,0.8935,0.6684
1961-09-01,1961,9,0.8891,0.6724
1961-10-01,1961,10,0.8852,0.6724
1961-11-01,1961,11,0.883,0.6704
1961-12-01,1961,12,0.8774,0.6664
1962-01-01,1962,1,0.8774,0.6684
1962-02-01,1962,2,0.877,0.6684
1962-03-01,1962,3,0.8609,0.6704
1962-04-01,1962,4,0.8466,0.6744
1962-05-01,1962,5,0.8256,0.6724
1962-06-01,1962,6,0.8047,0.6724
1962-07-01,1962,7,0.8131,0.6766
1962-08-01,1962,8,0.819,0.6845
1962-09-01,1962,9,0.8256,0.6947
1962-10-01,1962,10,0.8109,0.6947
1962-11-01,1962,11,0.8124,0.6927
1962-12-01,1962,12,0.8179,0.7169
1963-01-01,1963,1,0.8267,0.6521
1963-02-01,1963,2,0.8031,0.6138
1963-03-01,1963,3,0.8109,0.6157
1963-04-01,1963,4,0.808,0.6157
1963-05-01,1963,5,0.797,0.6118
1963-06-01,1963,6,0.7992,0.6118
1963-07-01,1963,7,0.8064,0.6157
1963-08-01,1963,8,0.8047,0.6118
1963-09-01,1963,9,0.802,0.6239
1963-10-01,1963,10,0.8042,0.6259
1963-11-01,1963,11,0.8069,0.6318
1963-12-01,1963,12,0.7998,0.6521
1964-01-01,1964,1,0.9259,0.7008
1964-02-01,1964,2,0.9414,0.7211
1964-03-01,1964,3,1.0351,0.7798
1964-04-01,1964,4,1.0042,0.8161
1964-05-01,1964,5,1.0203,0.8285
1964-06-01,1964,6,1.0053,0.8466
1964-07-01,1964,7,1.0214,0.8183
1964-08-01,1964,8,1.049,0.8183
1964-09-01,1964,9,1.0373,0.7899
1964-10-01,1964,10,1.0379,0.7738
1964-11-01,1964,11,1.034,0.7879
1964-12-01,1964,12,1.0053,0.7637
1965-01-01,1965,1,1.0119,0.6283
1965-02-01,1965,2,1.0384,0.6371
1965-03-01,1965,3,0.9899,0.5798
1965-04-01,1965,4,0.9744,0.547
1965-05-01,1965,5,0.9612,0.4872
1965-06-01,1965,6,0.9811,0.6131
1965-07-01,1965,7,0.9811,0.7163
1965-08-01,1965,8,1.0009,0.795
1965-09-01,1965,9,0.9987,0.7776
