year,arabica_usd_avg,arabica_usd_min,arabica_usd_max,robusta_usd_avg,robusta_usd_min,robusta_usd_max,usdvnd_rate,arabica_vnd_avg,robusta_vnd_avg,months_available
1960,0.924,0.901,0.947,0.696,0.684,0.709,1.0,1.0,1.0,12
1961,0.896,0.877,0.917,0.669,0.662,0.677,1.0,1.0,1.0,12
1962,0.833,0.805,0.877,0.682,0.668,0.717,1.0,1.0,1.0,12
1963,0.806,0.797,0.827,0.624,0.612,0.652,1.0,1.0,1.0,12
1964,1.01,0.926,1.049,0.787,0.701,0.847,1.0,1.0,1.0,12
1965,1.0,0.961,1.038,0.678,0.487,0.807,1.0,1.0,1.0,12
1966,0.929,0.873,1.012,0.739,0.7,0.802,1.0,1.0,1.0,12
1967,0.864,0.823,0.909,0.739,0.706,0.782,1.0,1.0,1.0,12
1968,0.867,0.827,0.888,0.746,0.709,0.76,1.0,1.0,1.0,12
1969,0.877,0.778,1.048,0.73,0.65,0.845,1.0,1.0,1.0,12
1970,1.147,0.978,1.217,0.914,0.847,0.945,1.0,1.0,1.0,12
1971,0.992,0.943,1.021,0.932,0.919,0.941,1.0,1.0,1.0,12
1972,1.11,0.99,1.236,0.996,0.93,1.053,1.0,1.0,1.0,12
1973,1.373,1.278,1.454,1.1,1.045,1.19,1.0,1.0,1.0,12
1974,1.452,1.204,1.647,1.294,1.189,1.423,1.0,2.0,1.0,12
1975,1.442,1.05,1.84,1.346,1.048,1.699,1.0,1.0,1.0,12
1976,3.147,2.047,4.566,2.813,1.744,4.496,2.37,7.0,7.0,12
1977,5.169,3.77,7.004,4.933,3.675,6.884,2.37,12.0,12.0,12
1978,3.59,2.89,4.545,3.251,2.79,3.905,2.37,8.0,8.0,12
1979,3.826,2.712,4.621,3.652,2.921,4.324,2.37,9.0,9.0,12
1980,3.466,2.599,4.232,3.243,2.518,3.885,2.37,8.0,8.0,12
1981,2.869,2.51,3.18,2.24,1.858,2.628,8.35,24.0,19.0,12
1982,3.088,2.931,3.405,2.424,2.168,2.818,8.35,26.0,20.0,12
1983,2.911,2.75,3.233,2.732,2.647,2.927,1.0,3.0,3.0,12
1984,3.189,3.018,3.312,3.037,2.799,3.229,1.0,3.0,3.0,12
1985,3.231,2.943,4.342,2.649,2.294,3.367,22.94,74.0,61.0,12
1986,4.293,3.003,5.282,3.245,2.746,3.752,22.94,98.0,74.0,12
1987,2.505,2.202,2.797,2.248,2.039,2.5,78.95,198.0,178.0,12
1988,3.034,2.822,3.255,2.079,1.8,2.27,611.65,1856.0,1272.0,12
1989,2.387,1.514,3.356,1.656,1.132,2.234,4501.69,10747.0,7453.0,12
1990,1.972,1.676,2.103,1.182,1.091,1.245,6537.6,12894.0,7726.0,12
1991,1.873,1.661,2.063,1.072,0.99,1.165,10121.89,18962.0,10850.0,12
