date,period,year,month,month_name,arabica_usd_kg,robusta_usd_kg,usdvnd_rate,arabica_vnd_kg,robusta_vnd_kg
1960-01-01,1960-01,1960,1,Jan 1960,0.9409,0.6969,1.0,1.0,1.0
1960-02-01,1960-02,1960,2,Feb 1960,0.9469,0.6887,1.0,1.0,1.0
1960-03-01,1960-03,1960,3,Mar 1960,0.9281,0.6887,1.0,1.0,1.0
1960-04-01,1960-04,1960,4,Apr 1960,0.9303,0.6845,1.0,1.0,1.0
1960-05-01,1960-05,1960,5,May 1960,0.92,0.6907,1.0,1.0,1.0
1960-06-01,1960-06,1960,6,Jun 1960,0.9123,0.6969,1.0,1.0,1.0
1960-07-01,1960-07,1960,7,Jul 1960,0.916,0.6907,1.0,1.0,1.0
1960-08-01,1960-08,1960,8,Aug 1960,0.9292,0.6988,1.0,1.0,1.0
1960-09-01,1960-09,1960,9,Sep 1960,0.9226,0.7028,1.0,1.0,1.0
1960-10-01,1960-10,1960,10,Oct 1960,0.9237,0.7068,1.0,1.0,1.0
1960-11-01,1960-11,1960,11,Nov 1960,0.9116,0.709,1.0,1.0,1.0
1960-12-01,1960-12,1960,12,Dec 1960,0.9006,0.6969,1.0,1.0,1.0
1961-01-01,1961-01,1961,1,Jan 1961,0.9145,0.6766,1.0,1.0,1.0
1961-02-01,1961-02,1961,2,Feb 1961,0.9167,0.6766,1.0,1.0,1.0
1961-03-01,1961-03,1961,3,Mar 1961,0.9105,0.6684,1.0,1.0,1.0
1961-04-01,1961-04,1961,4,Apr 1961,0.9017,0.6645,1.0,1.0,1.0
1961-05-01,1961-05,1961,5,May 1961,0.8929,0.6623,1.0,1.0,1.0
1961-06-01,1961-06,1961,6,Jun 1961,0.8891,0.6664,1.0,1.0,1.0
1961-07-01,1961-07,1961,7,Jul 1961,0.8929,0.6684,1.0,1.0,1.0
1961-08-01,1961-08,1961,8,Aug 1961,0.8935,0.6684,1.0,1.0,1.0
1961-09-01,1961-09,1961,9,Sep 1961,0.8891,0.6724,1.0,1.0,1.0
1961-10-01,1961-10,1961,10,Oct 1961,0.8852,0.6724,1.0,1.0,1.0
1961-11-01,1961-11,1961,11,Nov 1961,0.883,0.6704,1.0,1.0,1.0
1961-12-01,1961-12,1961,12,Dec 1961,0.8774,0.6664,1.0,1.0,1.0
1962-01-01,1962-01,1962,1,Jan 1962,0.8774,0.6684,1.0,1.0,1.0
1962-02-01,1962-02,1962,2,Feb 1962,0.877,0.6684,1.0,1.0,1.0
1962-03-01,1962-03,1962,3,Mar 1962,0.8609,0.6704,1.0,1.0,1.0
1962-04-01,1962-04,1962,4,Apr 1962,0.8466,0.6744,1.0,1.0,1.0
1962-05-01,1962-05,1962,5,May 1962,0.8256,0.6724,1.0,1.0,1.0
1962-06-01,1962-06,1962,6,Jun 1962,0.8047,0.6724,1.0,1.0,1.0
1962-07-01,1962-07,1962,7,Jul 1962,0.8131,0.6766,1.0,1.0,1.0
1962-08-01,1962-08,1962,8,Aug 1962,0.819,0.6845,1.0,1.0,1.0
1962-09-01,1962-09,1962,9,Sep 1962,0.8256,0.6947,1.0,1.0,1.0
1962-10-01,1962-10,1962,10,Oct 1962,0.8109,0.6947,1.0,1.0,1.0
1962-11-01,1962-11,1962,11,Nov 1962,0.8124,0.6927,1.0,1.0,1.0
1962-12-01,1962-12,1962,12,Dec 1962,0.8179,0.7169,1.0,1.0,1.0
1963-01-01,1963-01,1963,1,Jan 1963,0.8267,0.6521,1.0,1.0,1.0
1963-02-01,1963-02,1963,2,Feb 1963,0.8031,0.6138,1.0,1.0,1.0
1963-03-01,1963-03,1963,3,Mar 1963,0.8109,0.6157,1.0,1.0,1.0
1963-04-01,1963-04,1963,4,Apr 1963,0.808,0.6157,1.0,1.0,1.0
1963-05-01,1963-05,1963,5,May 1963,0.797,0.6118,1.0,1.0,1.0
1963-06-01,1963-06,1963,6,Jun 1963,0.7992,0.6118,1.0,1.0,1.0
1963-07-01,1963-07,1963,7,Jul 1963,0.8064,0.6157,1.0,1.0,1.0
1963-08-01,1963-08,1963,8,Aug 1963,0.8047,0.6118,1.0,1.0,1.0
1963-09-01,1963-09,1963,9,Sep 1963,0.802,0.6239,1.0,1.0,1.0
1963-10-01,1963-10,1963,10,Oct 1963,0.8042,0.6259,1.0,1.0,1.0
1963-11-01,1963-11,1963,11,Nov 1963,0.8069,0.6318,1.0,1.0,1.0
1963-12-01,1963-12,1963,12,Dec 1963,0.7998,0.6521,1.0,1.0,1.0
1964-01-01,1964-01,1964,1,Jan 1964,0.9259,0.7008,1.0,1.0,1.0
1964-02-01,1964-02,1964,2,Feb 1964,0.9414,0.7211,1.0,1.0,1.0
1964-03-01,1964-03,1964,3,Mar 1964,1.0351,0.7798,1.0,1.0,1.0
1964-04-01,1964-04,1964,4,Apr 1964,1.0042,0.8161,1.0,1.0,1.0
1964-05-01,1964-05,1964,5,May 1964,1.0203,0.8285,1.0,1.0,1.0
1964-06-01,1964-06,1964,6,Jun 1964,1.0053,0.8466,1.0,1.0,1.0
1964-07-01,1964-07,1964,7,Jul 1964,1.0214,0.8183,1.0,1.0,1.0
1964-08-01,1964-08,1964,8,Aug 1964,1.049,0.8183,1.0,1.0,1.0
1964-09-01,1964-09,1964,9,Sep 1964,1.0373,0.7899,1.0,1.0,1.0
1964-10-01,1964-10,1964,10,Oct 1964,1.0379,0.7738,1.0,1.0,1.0
1964-11-01,1964-11,1964,11,Nov 1964,1.034,0.7879,1.0,1.0,1.0
1964-12-01,1964-12,1964,12,Dec 1964,1.0053,0.7637,1.0,1.0,1.0
1965-01-01,1965-01,1965,1,Jan 1965,1.0119,0.6283,1.0,1.0,1.0
1965-02-01,1965-02,1965,2,Feb 1965,1.0384,0.6371,1.0,1.0,1.0
1965-03-01,1965-03,1965,3,Mar 1965,0.9899,0.5798,1.0,1.0,1.0
1965-04-01,1965-04,1965,4,Apr 1965,0.9744,0.547,1.0,1.0,1.0
1965-05-01,1965-05,1965,5,May 1965,0.9612,0.4872,1.0,1.0,0.0
1965-06-01,1965-06,1965,6,Jun 1965,0.9811,0.6131,1.0,1.0,1.0
1965-07-01,1965-07,1965,7,Jul 1965,0.9811,0.7163,1.0,1.0,1.0
1965-08-01,1965-08,1965,8,Aug 1965,1.0009,0.795,1.0,1.0,1.0
1965-09-01,1965-09,1965,9,Sep 1965,0.9987,0.7776,1.0,1.0,1.0
1965-10-01,1965-10,1965,10,Oct 1965,1.0097,0.8073,1.0,1.0,1.0
1965-11-01,1965-11,1965,11,Nov 1965,1.0251,0.7568,1.0,1.0,1.0
1965-12-01,1965-12,1965,12,Dec 1965,1.0318,0.7936,1.0,1.0,1.0
1966-01-01,1966-01,1966,1,Jan 1966,1.0119,0.8016,1.0,1.0,1.0
1966-02-01,1966-02,1966,2,Feb 1966,0.9722,0.7577,1.0,1.0,1.0
1966-03-01,1966-03,1966,3,Mar 1966,0.9546,0.7438,1.0,1.0,1.0
1966-04-01,1966-04,1966,4,Apr 1966,0.9546,0.7606,1.0,1.0,1.0
1966-05-01,1966-05,1966,5,May 1966,0.9458,0.7652,1.0,1.0,1.0
1966-06-01,1966-06,1966,6,Jun 1966,0.9237,0.741,1.0,1.0,1.0
1966-07-01,1966-07,1966,7,Jul 1966,0.9171,0.7291,1.0,1.0,1.0
1966-08-01,1966-08,1966,8,Aug 1966,0.9171,0.7189,1.0,1.0,1.0
1966-09-01,1966-09,1966,9,Sep 1966,0.8995,0.6995,1.0,1.0,1.0
1966-10-01,1966-10,1966,10,Oct 1966,0.8885,0.7171,1.0,1.0,1.0
1966-11-01,1966-11,1966,11,Nov 1966,0.8869,0.72,1.0,1.0,1.0
1966-12-01,1966-12,1966,12,Dec 1966,0.8728,0.7152,1.0,1.0,1.0
1967-01-01,1967-01,1967,1,Jan 1967,0.8501,0.7057,1.0,1.0,1.0
1967-02-01,1967-02,1967,2,Feb 1967,0.8441,0.7286,1.0,1.0,1.0
1967-03-01,1967-03,1967,3,Mar 1967,0.8228,0.7257,1.0,1.0,1.0
1967-04-01,1967-04,1967,4,Apr 1967,0.8508,0.7471,1.0,1.0,1.0
1967-05-01,1967-05,1967,5,May 1967,0.8891,0.7703,1.0,1.0,1.0
1967-06-01,1967-06,1967,6,Jun 1967,0.9092,0.7824,1.0,1.0,1.0
1967-07-01,1967-07,1967,7,Jul 1967,0.9026,0.7407,1.0,1.0,1.0
1967-08-01,1967-08,1967,8,Aug 1967,0.8761,0.7176,1.0,1.0,1.0
1967-09-01,1967-09,1967,9,Sep 1967,0.8607,0.724,1.0,1.0,1.0
1967-10-01,1967-10,1967,10,Oct 1967,0.8472,0.7295,1.0,1.0,1.0
1967-11-01,1967-11,1967,11,Nov 1967,0.8666,0.7478,1.0,1.0,1.0
1967-12-01,1967-12,1967,12,Dec 1967,0.8512,0.75,1.0,1.0,1.0
1968-01-01,1968-01,1968,1,Jan 1968,0.866,0.7597,1.0,1.0,1.0
1968-02-01,1968-02,1968,2,Feb 1968,0.8691,0.7566,1.0,1.0,1.0
1968-03-01,1968-03,1968,3,Mar 1968,0.8821,0.7548,1.0,1.0,1.0
1968-04-01,1968-04,1968,4,Apr 1968,0.886,0.7533,1.0,1.0,1.0
1968-05-01,1968-05,1968,5,May 1968,0.8816,0.7551,1.0,1.0,1.0
1968-06-01,1968-06,1968,6,Jun 1968,0.888,0.7566,1.0,1.0,1.0
1968-07-01,1968-07,1968,7,Jul 1968,0.8814,0.7498,1.0,1.0,1.0
1968-08-01,1968-08,1968,8,Aug 1968,0.8662,0.7476,1.0,1.0,1.0
1968-09-01,1968-09,1968,9,Sep 1968,0.8538,0.7493,1.0,1.0,1.0
1968-10-01,1968-10,1968,10,Oct 1968,0.8545,0.7401,1.0,1.0,1.0
1968-11-01,1968-11,1968,11,Nov 1968,0.8486,0.7233,1.0,1.0,1.0
1968-12-01,1968-12,1968,12,Dec 1968,0.8267,0.7094,1.0,1.0,1.0
1969-01-01,1969-01,1969,1,Jan 1969,0.8261,0.7066,1.0,1.0,1.0
1969-02-01,1969-02,1969,2,Feb 1969,0.8419,0.7081,1.0,1.0,1.0
1969-03-01,1969-03,1969,3,Mar 1969,0.8294,0.6872,1.0,1.0,1.0
1969-04-01,1969-04,1969,4,Apr 1969,0.8135,0.6589,1.0,1.0,1.0
1969-05-01,1969-05,1969,5,May 1969,0.8093,0.6497,1.0,1.0,1.0
1969-06-01,1969-06,1969,6,Jun 1969,0.795,0.6772,1.0,1.0,1.0
1969-07-01,1969-07,1969,7,Jul 1969,0.7776,0.6872,1.0,1.0,1.0
1969-08-01,1969-08,1969,8,Aug 1969,0.8126,0.7246,1.0,1.0,1.0
1969-09-01,1969-09,1969,9,Sep 1969,0.9026,0.763,1.0,1.0,1.0
1969-10-01,1969-10,1969,10,Oct 1969,1.0401,0.845,1.0,1.0,1.0
1969-11-01,1969-11,1969,11,Nov 1969,1.0247,0.8208,1.0,1.0,1.0
1969-12-01,1969-12,1969,12,Dec 1969,1.0479,0.8285,1.0,1.0,1.0
1970-01-01,1970-01,1970,1,Jan 1970,1.1369,0.862,1.0,1.0,1.0
1970-02-01,1970-02,1970,2,Feb 1970,1.1453,0.8474,1.0,1.0,1.0
1970-03-01,1970-03,1970,3,Mar 1970,1.1711,0.8679,1.0,1.0,1.0
1970-04-01,1970-04,1970,4,Apr 1970,1.2028,0.9129,1.0,1.0,1.0
1970-05-01,1970-05,1970,5,May 1970,1.217,0.94,1.0,1.0,1.0
1970-06-01,1970-06,1970,6,Jun 1970,1.2061,0.9299,1.0,1.0,1.0
1970-07-01,1970-07,1970,7,Jul 1970,1.2121,0.9425,1.0,1.0,1.0
1970-08-01,1970-08,1970,8,Aug 1970,1.1828,0.9447,1.0,1.0,1.0
1970-09-01,1970-09,1970,9,Sep 1970,1.1603,0.9387,1.0,1.0,1.0
1970-10-01,1970-10,1970,10,Oct 1970,1.1197,0.9416,1.0,1.0,1.0
1970-11-01,1970-11,1970,11,Nov 1970,1.0278,0.916,1.0,1.0,1.0
1970-12-01,1970-12,1970,12,Dec 1970,0.9775,0.9191,1.0,1.0,1.0
1971-01-01,1971-01,1971,1,Jan 1971,1.0031,0.9299,1.0,1.0,1.0
1971-02-01,1971-02,1971,2,Feb 1971,0.9833,0.9297,1.0,1.0,1.0
1971-03-01,1971-03,1971,3,Mar 1971,1.0143,0.9407,1.0,1.0,1.0
1971-04-01,1971-04,1971,4,Apr 1971,0.9894,0.94,1.0,1.0,1.0
1971-05-01,1971-05,1971,5,May 1971,1.0183,0.94,1.0,1.0,1.0
1971-06-01,1971-06,1971,6,Jun 1971,1.0022,0.9341,1.0,1.0,1.0
1971-07-01,1971-07,1971,7,Jul 1971,0.9927,0.9283,1.0,1.0,1.0
1971-08-01,1971-08,1971,8,Aug 1971,1.0051,0.9299,1.0,1.0,1.0
1971-09-01,1971-09,1971,9,Sep 1971,0.9645,0.9244,1.0,1.0,1.0
1971-10-01,1971-10,1971,10,Oct 1971,0.9431,0.9191,1.0,1.0,1.0
1971-11-01,1971-11,1971,11,Nov 1971,0.9658,0.9255,1.0,1.0,1.0
1971-12-01,1971-12,1971,12,Dec 1971,1.0207,0.9374,1.0,1.0,1.0
1972-01-01,1972-01,1972,1,Jan 1972,0.9905,0.9297,1.0,1.0,1.0
1972-02-01,1972-02,1972,2,Feb 1972,0.9996,0.9308,1.0,1.0,1.0
1972-03-01,1972-03,1972,3,Mar 1972,1.0192,0.9495,1.0,1.0,1.0
1972-04-01,1972-04,1972,4,Apr 1972,1.0115,0.9627,1.0,1.0,1.0
