year,ch_vnd_avg,ch_vnd_min,ch_vnd_max,lamdong_rob_avg,lamdong_rob_min,lamdong_rob_max,months,lamdong_arabica_vnd_approx
2010,32142.0,28800,40000,31742.0,28400,39600,12,45000
2011,43250.0,41000,46000,42850.0,40600,45600,12,67000
2012,39750.0,37000,41500,39350.0,36600,41100,12,64000
2013,37667.0,36000,40500,37267.0,35600,40100,12,62000
2014,39417.0,38000,41500,39017.0,37600,41100,12,64000
2015,37792.0,35000,41500,37392.0,34600,41100,12,62000
2016,36208.0,31500,40500,35808.0,31100,40100,12,57000
2017,44292.0,41500,47000,43892.0,41100,46600,12,75000
2018,39125.0,35500,43500,38725.0,35100,43100,12,70000
2019,32958.0,30000,36500,32558.0,29600,36100,12,55000
2020,33292.0,31000,36000,32892.0,30600,35600,12,55000
2021,39208.0,36500,42500,38808.0,36100,42100,12,62000
2022,42750.0,40500,44500,42350.0,40100,44100,12,66000
2023,65708.0,46000,88000,65308.0,45600,87600,12,95000
2024,110542.0,89000,131000,110142.0,88600,130600,12,150000
2025,121000.0,110000,135000,120600.0,109600,134600,12,155000
2026,90240.0,85400,98300,89840.0,85000,97900,5,120000
