date,year,month,period,ch_avg_vnd_kg,lamdong_robusta_vnd_kg,lamdong_arabica_vnd_kg,notes,arabica_usd_kg,robusta_usd_kg,usdvnd_rate,robusta_export_usd_kg,arabica_export_usd_kg,implied_vnd_from_export
2010-01-01,2010,1,2010-01,28800,28400,45000,,3.5031,1.545,18612.92,1.545,3.5031,28757.0
2010-02-01,2010,2,2010-02,30500,30100,45000,,3.4802,1.4965,18612.92,1.4965,3.4802,27854.0
2010-03-01,2010,3,2010-03,31200,30800,45000,,3.6266,1.4826,18612.92,1.4826,3.6266,27596.0
2010-04-01,2010,4,2010-04,31800,31400,45000,,3.7311,1.5767,18612.92,1.5767,3.7311,29347.0
2010-05-01,2010,5,2010-05,30900,30500,45000,,3.8202,1.5567,18612.92,1.5567,3.8202,28975.0
2010-06-01,2010,6,2010-06,30200,29800,45000,,4.2086,1.6958,18612.92,1.6958,4.2086,31564.0
2010-07-01,2010,7,2010-07,29800,29400,45000,,4.48,1.8799,18612.92,1.8799,4.48,34990.0
2010-08-01,2010,8,2010-08,30500,30100,45000,,4.6648,1.8228,18612.92,1.8228,4.6648,33928.0
2010-09-01,2010,9,2010-09,31000,30600,45000,,4.9099,1.7919,18612.92,1.7919,4.9099,33352.0
2010-10-01,2010,10,2010-10,34000,33600,45000,,4.7981,1.8799,18612.92,1.8799,4.7981,34990.0
2010-11-01,2010,11,2010-11,37000,36600,45000,,5.1473,2.0291,18612.92,2.0291,5.1473,37767.0
2010-12-01,2010,12,2010-12,40000,39600,45000,,5.4712,2.0743,18612.92,2.0743,5.4712,38609.0
2011-01-01,2011,1,2011-01,43000,42600,67000,,5.8151,2.2287,20509.75,2.2287,5.8151,45710.0
2011-02-01,2011,2,2011-02,44500,44100,67000,,6.3469,2.4108,20509.75,2.4108,6.3469,49445.0
2011-03-01,2011,3,2011-03,46000,45600,67000,,6.439,2.6043,20509.75,2.6043,6.439,53414.0
2011-04-01,2011,4,2011-04,45000,44600,67000,,6.6165,2.5876,20509.75,2.5876,6.6165,53071.0
2011-05-01,2011,5,2011-05,45500,45100,67000,,6.4174,2.6892,20509.75,2.6892,6.4174,55155.0
2011-06-01,2011,6,2011-06,43000,42600,67000,,6.0623,2.6003,20509.75,2.6003,6.0623,53332.0
2011-07-01,2011,7,2011-07,42000,41600,67000,,5.9088,2.4853,20509.75,2.4853,5.9088,50973.0
2011-08-01,2011,8,2011-08,41000,40600,67000,,5.9622,2.4707,20509.75,2.4707,5.9622,50673.0
2011-09-01,2011,9,2011-09,41500,41100,67000,,6.0601,2.3382,20509.75,2.3382,6.0601,47956.0
2011-10-01,2011,10,2011-10,43000,42600,67000,,5.4635,2.1627,20509.75,2.1627,5.4635,44356.0
2011-11-01,2011,11,2011-11,43500,43100,67000,,5.4033,2.1438,20509.75,2.1438,5.4033,43969.0
2011-12-01,2011,12,2011-12,41000,40600,67000,,5.2186,2.1696,20509.75,2.1696,5.2186,44498.0
2012-01-01,2012,1,2012-01,40000,39600,64000,,5.2295,2.1323,20828.0,2.1323,5.2295,44412.0
2012-02-01,2012,2,2012-02,41500,41100,64000,,4.9419,2.2472,20828.0,2.2472,4.9419,46805.0
2012-03-01,2012,3,2012-03,41000,40600,64000,,4.437,2.2833,20828.0,2.2833,4.437,47557.0
2012-04-01,2012,4,2012-04,40500,40100,64000,,4.2207,2.2443,20828.0,2.2443,4.2207,46744.0
2012-05-01,2012,5,2012-05,38500,38100,64000,,4.0708,2.3563,20828.0,2.3563,4.0708,49077.0
2012-06-01,2012,6,2012-06,37000,36600,64000,,3.719,2.3303,20828.0,2.3303,3.719,48535.0
2012-07-01,2012,7,2012-07,38000,37600,64000,,4.1987,2.3603,20828.0,2.3603,4.1987,49160.0
2012-08-01,2012,8,2012-08,39500,39100,64000,,3.8542,2.3484,20828.0,2.3484,3.8542,48912.0
2012-09-01,2012,9,2012-09,40000,39600,64000,,3.9458,2.3137,20828.0,2.3137,3.9458,48190.0
2012-10-01,2012,10,2012-10,41500,41100,64000,,3.821,2.3032,20828.0,2.3032,3.821,47971.0
2012-11-01,2012,11,2012-11,40500,40100,64000,,3.5254,2.1533,20828.0,2.1533,3.5254,44849.0
2012-12-01,2012,12,2012-12,39000,38600,64000,,3.3673,2.1294,20828.0,2.1294,3.3673,44351.0
2013-01-01,2013,1,2013-01,40000,39600,62000,,3.4676,2.1978,20933.42,2.1978,3.4676,46007.0
2013-02-01,2013,2,2013-02,40500,40100,62000,,3.295,2.2935,20933.42,2.2935,3.295,48011.0
2013-03-01,2013,3,2013-03,40000,39600,62000,,3.3021,2.3426,20933.42,2.3426,3.3021,49039.0
2013-04-01,2013,4,2013-04,38000,37600,62000,,3.3027,2.2417,20933.42,2.2417,3.3027,46926.0
2013-05-01,2013,5,2013-05,37500,37100,62000,,3.2449,2.1864,20933.42,2.1864,3.2449,45769.0
2013-06-01,2013,6,2013-06,36500,36100,62000,,3.0481,2.0015,20933.42,2.0015,3.0481,41898.0
2013-07-01,2013,7,2013-07,36000,35600,62000,,3.0509,2.099,20933.42,2.099,3.0509,43939.0
2013-08-01,2013,8,2013-08,36500,36100,62000,,2.9796,2.0726,20933.42,2.0726,2.9796,43387.0
2013-09-01,2013,9,2013-09,37000,36600,62000,,2.9163,1.9351,20933.42,1.9351,2.9163,40508.0
2013-10-01,2013,10,2013-10,37500,37100,62000,,2.8373,1.8453,20933.42,1.8453,2.8373,38628.0
2013-11-01,2013,11,2013-11,36500,36100,62000,,2.69,1.7572,20933.42,1.7572,2.69,36784.0
2013-12-01,2013,12,2013-12,36000,35600,62000,,2.7772,1.9376,20933.42,1.9376,2.7772,40561.0
2014-01-01,2014,1,2014-01,39000,38600,64000,,2.9262,1.9341,21148.0,1.9341,2.9262,40902.0
2014-02-01,2014,2,2014-02,41500,41100,64000,,3.8281,2.1142,21148.0,2.1142,3.8281,44711.0
2014-03-01,2014,3,2014-03,41000,40600,64000,,4.7199,2.323,21148.0,2.323,4.7199,49127.0
2014-04-01,2014,4,2014-04,40000,39600,64000,,4.9269,2.327,21148.0,2.327,4.9269,49211.0
2014-05-01,2014,5,2014-05,39500,39100,64000,,4.7223,2.2705,21148.0,2.2705,4.7223,48017.0
