year,usdvnd,source
1960,1.0,Historical estimate (official rate)
1961,1.0,Historical estimate (official rate)
1962,1.0,Historical estimate (official rate)
1963,1.0,Historical estimate (official rate)
1964,1.0,Historical estimate (official rate)
1965,1.0,Historical estimate (official rate)
1966,1.0,Historical estimate (official rate)
1967,1.0,Historical estimate (official rate)
1968,1.0,Historical estimate (official rate)
1969,1.0,Historical estimate (official rate)
1970,1.0,Historical estimate (official rate)
1971,1.0,Historical estimate (official rate)
1972,1.0,Historical estimate (official rate)
1973,1.0,Historical estimate (official rate)
1974,1.0,Historical estimate (official rate)
1975,1.0,Historical estimate (official rate)
1976,2.37,Historical estimate (official rate)
1977,2.37,Historical estimate (official rate)
1978,2.37,Historical estimate (official rate)
1979,2.37,Historical estimate (official rate)
1980,2.37,Historical estimate (official rate)
1981,8.35,Historical estimate (official rate)
1982,8.35,Historical estimate (official rate)
1983,1.0,World Bank API
1986,22.94,World Bank API
1987,78.95,World Bank API
1988,611.65,World Bank API
1989,4501.69,World Bank API
1990,6537.6,World Bank API
1991,10121.89,World Bank API
1992,11202.19,World Bank API
1993,10640.96,World Bank API
1994,10965.67,World Bank API
1995,11038.25,World Bank API
1996,11032.58,World Bank API
1997,11683.33,World Bank API
1998,13268.0,World Bank API
1999,13943.17,World Bank API
2000,14167.75,World Bank API
2001,14725.17,World Bank API
2002,15279.5,World Bank API
2003,15509.58,World Bank API
2004,15746.0,World Bank API
2005,15858.92,World Bank API
2006,15994.25,World Bank API
2007,16105.12,World Bank API
2008,16302.25,World Bank API
2009,17065.08,World Bank API
2010,18612.92,World Bank API
2011,20509.75,World Bank API
2012,20828.0,World Bank API
2013,20933.42,World Bank API
2014,21148.0,World Bank API
2015,21697.57,World Bank API
2016,21935.0,World Bank API
2017,22370.09,World Bank API
2018,22602.05,World Bank API
2019,23050.24,World Bank API
2020,23208.37,World Bank API
2021,23159.78,World Bank API
2022,23271.21,World Bank API
2023,23787.32,World Bank API
2024,24164.89,World Bank API
